QKEY,INTERVIEW_START_W106,INTERVIEW_END_W106,DEVICE_TYPE_W106,LANG_W106,XATTEND_W106,XPRAY_W106,XHOLYBOOK_W106,XASIAN_W106,LIFE2_W106,FTRPER_a_W106,FTRPER_b_W106,FTRGENS_a_W106,FTRGENS_b_W106,FTRGENS_c_W106,CLMSRS1_W106,CLIM1A_W106,ENV6MOD_a_W106,ENV6MOD_b_W106,ENV6MOD_c_W106,ENV6MOD_d_W106,ENV6MOD_e_W106,ENV6MOD_f_W106,SVENERGY_W106,SVREASON_W106,RELPER_W106,SPIRPER_W106,GOD_W106,GODBIBLE_W106,HGHPWR_W106,MISSINGGOD_W106,TYPEGOD_W106,SPECIES_W106,SACREDEARTH1_W106,SACREDEARTH2_a_W106,SACREDEARTH2_b_W106,SACREDEARTH2_c_W106,SACREDEARTH2_d_W106,HUMNTR_a_W106,HUMNTR_b_W106,READBIB_W106,PERSDEC_W106,PERSOE_1_W106,PERSOE_2_W106,PERSOE_3_W106,LITERAL_W106,PRAYFOR_a_W106,PRAYFOR_b_W106,PRAYFOR_c_W106,PRAYFOR_d_W106,PRAYFOR_e_W106,PRAYFOR_f_W106,ENDTIMES_W106,JCRTRNA_W106,JCRTRNCB_W106,JCRTRNC_W106,MEANINGMOD_a_W106,MEANINGMOD_b_W106,MEANINGMOD_c_W106,MEANINGMOD_d_W106,MEANINGMOD_e_W106,MEANINGMOD_f_W106,CONCLM_a_W106,CONCLM_b_W106,CONCLM_c_W106,CONCLMINV_a_W106,CONCLMINV_b_W106,CONCLMINV_c_W106,CONNRGY_a_W106,CONNRGY_b_W106,CONNRGY_c_W106,SERMONCLM_W106,CLRGYCLM_a_W106,CLRGYCLM_b_W106,CLRGYCLM_c_W106,CLRGYCLM_d_W106,MORALISSUE_d_W106,MORALISSUE_e_W106,MORALISSUE_f_W106,MORALISSUE_g_W106,CLMSRS2_a_W106,CLMSRS2_b_W106,CLMSRS2_c_W106,CLMSRS2_d_W106,CLMSRS2_e_W106,GOVWRRY_a_W106,GOVWRRY_b_W106,GOVWRRY_c_W106,CLMWRRY_a_W106,CLMWRRY_b_W106,CLMWRRY_c_W106,CLMWRRY_d_W106,USWRRY_a_W106,USWRRY_b_W106,CLMPOSS_W106,CLMPRI_W106,TALKCLM_a_W106,TALKCLM_b_W106,TALKCLM_c_W106,TALKCLM_d_W106,TALKCLMVAL_a_W106,TALKCLMVAL_b_W106,TALKCLMVAL_c_W106,TALKCLMVAL_d_W106,ENV27MOD_a_W106,ENV27MOD_b_W106,ENV27MOD_d_W106,ENV27MOD_e_W106,ATTACK_WORRY_W106,ATTACK_WORRY2_W106,ASIANDISC3_W106,ASIANDISCJOB_W106,ASIANDISC4_W106,F_METRO,F_CREGION,F_CDIVISION,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_INC_SDT1,F_REG,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W106
102198,2022-04-12T16:32:33Z,2022-04-15T09:13:29Z,1,1,1,1,1,2,3,1,2,1,3,3,4,2,1,1,1,1,1,1,2,3,1,1,1,1,NA,NA,1,1,1,1,3,3,3,1,1,1,1,20,3,24,1,1,1,1,1,1,1,1,1,3,1,1,3,3,2,1,1,1,2,1,1,NA,2,2,2,2,5,NA,NA,NA,NA,1,3,3,2,3,3,3,2,1,1,1,1,3,3,3,4,2,4,1,1,5,5,5,4,4,2,3,3,5,3,5,4,3,2,3,5,NA,1,1,2,1,2,1,5,2,NA,1,1,1,1,1,6,1,1,1,2,1,NA,1,1,9,1,2,1,1,3,0.8720913106333265
103060,2022-04-13T00:00:01Z,2022-04-13T00:39:54Z,1,1,2,1,4,2,2,2,1,3,1,1,1,1,1,2,2,2,1,1,3,2,4,1,1,2,NA,NA,2,2,1,1,1,1,1,1,1,7,1,97,NA,NA,3,1,1,1,1,1,1,2,2,NA,NA,5,99,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,3,2,1,3,1,1,NA,1,99,1,NA,1,3,1,1,5,5,NA,1,6,NA,1,3,5,4,2,2,4,2,NA,1,1,1,1,1,1,12,NA,3,6,2,NA,2,4,99,1,4,2,2,99,0.32663578814951466
103094,2022-04-12T17:46:15Z,2022-04-12T17:58:00Z,2,1,2,1,1,2,1,5,4,4,3,4,2,2,2,2,2,2,2,2,2,3,2,3,1,1,NA,NA,1,2,2,NA,NA,NA,NA,1,1,7,2,NA,NA,NA,1,1,1,1,2,1,1,1,1,3,3,3,5,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,NA,NA,NA,NA,NA,1,3,2,3,2,3,1,3,4,2,3,4,3,NA,5,2,2,NA,2,5,4,5,1,4,2,4,6,NA,1,1,2,2,2,3,2,2,NA,1,1,1,1,1,3,2,2,2,6,2,NA,2,3,1,1,2,1,2,1,0.8258185528265523
103379,2022-04-13T11:26:01Z,2022-04-13T11:56:18Z,1,1,1,1,1,2,2,3,5,1,3,3,5,3,1,2,1,2,1,2,5,NA,2,2,1,1,NA,NA,1,1,2,NA,NA,NA,NA,1,3,2,1,1,3,30,1,1,1,1,1,1,1,1,1,4,1,1,3,3,1,1,3,1,2,2,1,NA,NA,2,2,2,5,NA,NA,NA,NA,3,3,3,2,1,1,1,1,1,1,1,1,5,5,5,5,1,5,NA,NA,5,5,5,5,1,1,1,1,5,5,5,3,5,NA,3,5,NA,1,3,5,4,1,2,3,2,NA,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,9,1,1,5,1,3,0.5663019882758107
103406,2022-04-15T00:14:21Z,2022-04-15T00:26:45Z,2,1,1,1,1,2,1,4,1,3,2,2,2,1,1,1,2,2,1,1,2,3,2,2,1,1,NA,NA,1,2,1,3,1,1,1,4,1,6,2,NA,NA,NA,2,1,1,1,2,1,1,2,2,NA,NA,3,2,4,1,2,3,1,3,3,2,NA,NA,2,2,2,4,3,4,5,2,3,3,3,3,NA,NA,NA,NA,NA,1,4,1,3,1,2,3,5,3,2,3,3,2,5,2,2,1,4,1,4,2,3,5,5,NA,1,4,NA,1,3,5,2,2,1,6,2,NA,1,1,1,1,1,1,2,2,2,3,2,NA,2,4,7,1,4,1,1,2,0.35148373365250724
103519,2022-04-12T15:43:48Z,2022-04-12T15:58:47Z,2,1,2,2,4,2,3,3,2,4,2,2,2,1,1,2,2,1,1,1,3,2,4,2,1,2,NA,NA,2,2,2,NA,NA,NA,NA,5,5,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,3,NA,NA,5,5,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,NA,NA,NA,NA,NA,2,4,2,3,1,4,1,4,4,1,3,3,3,NA,6,2,2,NA,5,5,3,3,5,3,2,1,5,NA,1,2,3,3,1,1,6,2,NA,1,1,1,1,1,1,10,NA,3,5,3,2,2,3,9,1,3,1,1,3,0.1633446277148058
103538,2022-04-13T11:23:25Z,2022-04-13T11:50:04Z,1,1,2,1,1,2,3,2,3,3,3,4,3,2,1,1,2,2,1,1,3,1,3,3,1,2,NA,NA,2,2,1,4,2,3,2,5,4,6,2,NA,NA,NA,3,1,1,1,1,2,1,2,3,NA,NA,4,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,NA,NA,NA,NA,NA,2,2,2,4,3,3,4,3,4,1,2,3,2,NA,6,1,4,NA,5,4,3,5,4,4,2,1,5,NA,1,4,8,4,1,1,5,2,NA,1,1,1,1,1,1,2,2,2,4,3,2,2,3,9,1,3,2,2,3,0.3816709404168057
103611,2022-04-16T01:59:13Z,2022-04-16T02:12:31Z,2,1,2,1,1,2,2,3,4,2,1,1,1,1,2,2,2,2,2,2,3,3,2,2,1,1,NA,NA,1,2,1,3,1,1,1,2,1,6,1,99,NA,NA,2,1,1,1,2,1,2,2,1,4,3,2,2,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,NA,NA,NA,NA,NA,1,3,2,2,1,3,1,4,3,2,3,4,5,NA,6,2,2,NA,5,4,1,3,5,4,2,3,5,NA,1,1,2,4,2,1,6,2,NA,1,1,1,1,1,6,2,2,2,4,2,NA,2,3,1,1,3,2,1,2,0.33662983624908294
103677,2022-04-13T20:24:04Z,2022-04-13T20:41:57Z,2,1,2,1,1,2,2,5,4,1,3,4,5,2,1,2,1,1,1,1,5,NA,2,2,1,2,NA,NA,2,1,1,4,2,1,2,1,1,6,1,21,NA,NA,3,1,1,1,1,2,1,2,2,NA,NA,4,4,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,5,3,2,1,1,1,4,3,4,3,4,1,5,3,NA,4,4,NA,6,1,1,NA,5,5,5,5,5,2,1,1,3,NA,1,1,2,3,1,2,3,2,NA,1,1,1,1,1,1,2,2,2,5,1,NA,1,1,9,1,1,1,1,3,0.5385811776098586
103956,2022-04-13T10:01:48Z,2022-04-13T10:11:47Z,1,1,2,2,4,2,3,3,3,2,1,3,1,1,1,2,2,2,1,2,2,3,4,2,2,NA,2,NA,3,2,1,5,1,1,2,NA,NA,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,5,3,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,4,5,2,2,2,1,2,5,3,2,3,2,2,NA,6,1,1,NA,5,2,1,2,5,4,2,1,6,NA,1,2,3,4,2,1,5,2,NA,1,1,1,1,1,2,11,NA,4,6,2,NA,2,4,2,1,4,1,2,2,0.2943079294551644
104210,2022-04-15T01:56:08Z,2022-04-15T02:09:02Z,2,1,2,1,4,2,2,3,3,4,2,2,1,1,1,2,2,2,2,1,3,3,4,2,2,NA,1,NA,2,2,1,5,1,1,1,5,2,7,2,NA,NA,NA,3,2,2,1,2,2,1,2,2,NA,NA,5,3,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,3,4,3,1,1,1,1,5,1,1,3,5,3,NA,3,1,1,NA,5,5,1,4,5,5,NA,1,6,NA,1,1,2,2,2,3,2,2,NA,1,1,1,1,1,2,12,NA,3,6,4,2,2,4,1,1,5,2,2,1,1.7692100650961564
104272,2022-04-12T16:57:50Z,2022-04-12T17:06:34Z,2,1,2,1,4,2,1,3,2,3,4,3,2,1,2,2,2,2,2,2,2,3,3,1,1,2,NA,NA,2,2,1,4,1,1,1,5,5,7,2,NA,NA,NA,3,1,1,1,2,2,1,2,2,NA,NA,2,3,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,NA,NA,NA,NA,NA,2,4,4,3,3,3,4,4,4,1,3,4,4,NA,4,1,1,NA,1,3,1,2,5,4,2,3,4,NA,1,2,3,2,1,2,3,2,NA,1,1,1,1,1,1,10,NA,3,6,2,NA,2,4,9,1,4,1,2,3,0.6049201049541162
104368,2022-04-13T08:00:53Z,2022-04-13T08:50:47Z,1,1,1,1,1,2,2,3,3,3,3,3,1,1,1,2,2,2,1,2,2,1,1,1,1,1,NA,NA,1,2,1,1,1,1,1,1,1,3,1,29,NA,NA,2,1,1,1,2,1,1,2,1,4,1,1,1,1,1,1,2,1,3,1,1,NA,2,2,2,3,2,2,5,5,1,2,3,3,2,NA,NA,NA,NA,NA,3,3,4,3,1,1,1,4,4,1,3,4,4,4,4,1,1,1,2,5,3,3,5,4,2,3,5,NA,1,3,7,4,1,3,2,2,NA,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,3,2,1,2,0.9527745811769397
104491,2022-04-12T22:32:06Z,2022-04-12T22:49:31Z,1,1,2,2,4,2,2,3,2,3,2,2,1,1,2,2,2,2,2,2,2,3,4,2,2,NA,2,NA,3,1,1,5,1,1,1,NA,NA,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,5,5,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,2,1,2,2,1,1,2,2,2,1,1,3,3,NA,3,1,1,NA,1,4,1,5,5,3,2,1,5,NA,1,4,9,4,2,2,4,2,NA,4,99,99,1,4,5,9,NA,3,6,2,NA,2,4,3,1,5,2,2,2,0.5639886467676143
104689,2022-04-12T15:05:32Z,2022-04-12T15:18:38Z,2,1,1,1,1,2,3,1,1,2,3,1,1,2,2,1,2,2,2,2,2,3,2,2,1,1,NA,NA,1,1,1,1,1,1,1,1,1,6,1,55,NA,NA,2,1,1,1,2,2,1,2,2,NA,NA,1,3,1,1,1,1,1,1,2,2,2,NA,1,2,1,3,3,5,4,2,3,3,3,2,NA,NA,NA,NA,NA,3,3,4,2,2,2,2,4,4,2,3,3,3,3,3,1,1,1,1,3,2,3,4,4,2,1,5,NA,2,2,3,4,2,3,2,2,NA,1,1,1,1,1,5,1,1,1,2,2,NA,2,3,3,1,3,2,1,2,0.4333086535469853
104727,2022-04-12T23:02:20Z,2022-04-12T23:28:57Z,1,1,2,2,1,2,1,5,2,2,2,2,2,2,1,1,1,2,1,1,3,4,3,2,1,2,NA,NA,2,2,1,2,2,2,1,2,2,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,1,3,3,3,4,4,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,4,4,3,4,3,3,4,3,4,2,3,4,4,NA,3,1,4,NA,1,3,3,5,3,5,NA,4,5,NA,2,2,3,3,1,3,2,2,NA,1,1,1,1,1,1,2,2,2,5,1,NA,1,1,8,1,2,2,2,3,1.8978176026246374
105124,2022-04-12T17:34:55Z,2022-04-13T17:17:32Z,1,1,1,1,1,2,1,5,1,1,3,1,4,2,1,2,2,2,2,2,3,3,1,4,1,1,NA,NA,1,1,2,NA,NA,NA,NA,1,1,2,1,20,NA,NA,2,1,1,2,1,1,1,2,1,3,3,1,4,2,3,1,1,1,1,1,1,2,2,1,2,1,4,4,5,5,2,3,3,3,2,5,3,4,1,1,2,2,2,4,3,4,3,3,4,3,2,4,4,5,4,4,2,4,2,5,3,4,5,5,NA,4,6,NA,1,3,5,3,1,1,6,2,NA,1,1,1,1,1,1,2,2,2,2,1,NA,1,1,9,1,1,2,2,3,0.30023818657223245
105205,2022-04-13T08:12:44Z,2022-04-13T08:56:05Z,1,1,1,1,1,2,3,4,3,1,3,3,5,3,1,2,2,2,1,2,3,1,1,2,1,1,NA,NA,1,2,1,1,2,2,3,3,1,6,1,98,NA,NA,2,1,1,1,1,1,1,2,1,3,3,1,3,3,2,1,1,1,1,3,1,1,NA,1,2,1,5,NA,NA,NA,NA,3,2,2,2,3,2,4,3,1,1,1,1,2,3,1,1,1,4,NA,NA,5,5,5,6,1,1,1,5,5,3,5,3,4,2,3,3,NA,1,2,3,3,2,2,4,2,NA,1,1,1,1,1,1,2,2,2,1,1,NA,1,1,9,1,1,1,1,3,0.24765182025190988
105269,2022-04-13T13:44:07Z,2022-04-13T14:05:50Z,2,1,2,2,1,2,2,4,3,3,3,3,2,1,2,2,2,2,2,2,2,1,2,2,1,2,NA,NA,2,2,2,NA,NA,NA,NA,3,1,6,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,3,4,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,1,3,3,2,2,2,2,2,4,1,3,4,4,NA,5,3,3,NA,4,5,1,2,4,4,2,3,4,NA,1,2,4,4,1,1,6,2,NA,1,1,1,1,1,1,2,2,2,4,3,2,2,3,4,1,3,2,2,2,0.3202076835738529
106180,2022-04-13T09:51:23Z,2022-04-13T10:09:49Z,1,1,1,1,1,2,1,3,3,2,3,2,5,3,1,1,1,1,2,1,2,1,1,1,1,1,NA,NA,1,1,2,NA,NA,NA,NA,3,2,2,1,55,20,NA,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,3,1,2,1,2,NA,2,2,2,1,5,NA,NA,NA,NA,1,3,3,2,1,1,5,1,1,1,1,1,1,4,2,2,1,5,NA,NA,5,5,5,5,1,1,1,1,4,4,4,3,4,2,3,5,NA,1,3,7,3,1,2,4,2,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,5,1,1,1,1,2,0.4174949662351754
